environment,scenario,configuration_sha256,planner,method,fixed_speed_limit_mps,success,execution_time_s,tracking_rmse_m,tracking_max_error_m,curve_tracking_rmse_m,curve_exit_tracking_rmse_m,estimated_tracking_rmse_m,estimated_tracking_max_error_m,final_position_error_m,final_yaw_error_rad,localization_position_error_p95_m,actual_max_linear_mps,actual_max_angular_radps,actual_max_wheel_linear_mps,adaptive_speed_nominal_p95_abs_jerk_mps3,adaptive_speed_safety_override_fraction,planned_footprint_collision_sample_count,collision_monitor_interventions,raw_path_sha256,selected_path_sha256
research_warehouse,lower_left_diagonal,,ThetaStar,adaptive_hybrid,0.0,True,37.068000000000005,0.023305196732801396,0.038840829698067465,0.0201670690302377,0.02444721103394503,0.007054100459413989,0.018618415493658655,0.023497223777350657,0.012111890034266713,0.049191969391813896,0.3000000384249569,0.3580920275978072,0.3063363787463003,0.9,0.06308724832214765,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,e921b1344a6719a05fa5e5ccc68cf15dc1e18a4c65da1d79bfb3102616a66e56
research_warehouse,lower_left_diagonal,ef8da935648e3e4c9aef6c1efcd7fb5242d8c5429622cbecc8d496a218352512,ThetaStar,adaptive_hybrid,0.0,True,36.924,0.024219427986030592,0.038886671081574814,0.022864976406468764,0.028600253854971912,0.007070237440046121,0.017743559120468513,0.02255850091820408,0.0033994071513907547,0.05314545339688866,0.30000003680773024,0.36361813432549656,0.30632479359900755,0.9,0.12027027027027028,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,e921b1344a6719a05fa5e5ccc68cf15dc1e18a4c65da1d79bfb3102616a66e56
research_warehouse,lower_left_diagonal,,ThetaStar,adaptive_hybrid,0.15,True,44.844,0.02274056527493783,0.0360067958258663,0.020392096232253198,0.02765527520917102,0.005517877838484416,0.01886220878386793,0.022536275862432596,0.014143361693214729,0.048741409619639776,0.15000009186096233,0.35563320886057503,0.16623192383821758,0.9,0.041156840934371525,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,e921b1344a6719a05fa5e5ccc68cf15dc1e18a4c65da1d79bfb3102616a66e56
research_warehouse,lower_left_diagonal,,ThetaStar,adaptive_hybrid,0.22,True,36.669000000000004,0.02681217675965126,0.04616971166020442,0.023350143974601834,0.0347944326028051,0.006162233804100214,0.020837513733128227,0.02960073179777614,0.004344055071716646,0.0619745743415744,0.22617396570718357,0.35757649752167187,0.23248597429726392,0.9,0.06784260515603799,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,e921b1344a6719a05fa5e5ccc68cf15dc1e18a4c65da1d79bfb3102616a66e56
research_warehouse,lower_left_diagonal,,ThetaStar,adaptive_hybrid_fixed,0.0,True,36.672000000000004,0.022294739659969916,0.03189414152356245,0.02147662105703055,0.027748817027065536,0.005974078960746923,0.014485758041582203,0.02355778010071429,0.0059614343117158075,0.05126360061513514,0.3000000422026857,0.3626869412962156,0.30663005737943777,0.9,0.054274084124830396,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,56d5b89bd019b4189e5c0775086db58164d58e720e44d3c4b534c1db4aaaafcc
research_warehouse,lower_left_diagonal,,ThetaStar,adaptive_hybrid_fixed,0.15,True,42.999,0.02364478398836853,0.043499561234328486,0.019751704430569693,0.03302721957961762,0.006788204774772201,0.020744250258534276,0.02267811138444742,0.011337680093142843,0.048803432246493965,0.15000008513651608,0.36810573957565323,0.18427625725592114,0.9,0.031322505800464036,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,56d5b89bd019b4189e5c0775086db58164d58e720e44d3c4b534c1db4aaaafcc
research_warehouse,lower_left_diagonal,,ThetaStar,adaptive_hybrid_fixed,0.22,True,34.263000000000005,0.02179196356147883,0.037680894825207846,0.019749890161462075,0.029505559196596802,0.007133215037661567,0.017954331537297093,0.02540438694969802,0.0026029650994062736,0.048602881552774445,0.22622885729570497,0.35728423687639344,0.23122805777088332,0.9,0.05967976710334789,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,56d5b89bd019b4189e5c0775086db58164d58e720e44d3c4b534c1db4aaaafcc
research_warehouse,lower_left_diagonal,,ThetaStar,constrained,0.0,True,33.408,0.026517249602844996,0.04735181065245058,0.0295237815838827,0.023187341755391614,0.01258659184684018,0.03569002527290925,0.024599850019407857,0.014225609527916183,0.0537287945272331,0.300000052924393,0.48947333118645675,0.3472176533429268,0.9,0.05680119581464873,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,16ea23ec6ceaa3ae74d516a03032bf6e46b57cb228a5d689b6d177ce560f8036
research_warehouse,lower_left_diagonal,,ThetaStar,constrained,0.15,True,42.363,0.022086996136647438,0.04491116037831252,0.02351116789734576,0.02644978772071415,0.006345664566854261,0.01443818189706434,0.020599270160273235,0.011567429884759783,0.04545350652474906,0.15000009817546792,0.35976111636640973,0.18340646778745598,0.9,0.012941176470588235,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,16ea23ec6ceaa3ae74d516a03032bf6e46b57cb228a5d689b6d177ce560f8036
research_warehouse,lower_left_diagonal,,ThetaStar,constrained,0.22,True,32.823,0.027132462815463748,0.05419584082897929,0.028293694654003786,0.032227710759936544,0.008766434269681416,0.02145133173306983,0.021638504984656633,0.010934907503478255,0.049849616134714905,0.22595687735442754,0.38337032171388363,0.26883468840755526,0.9,0.0350076103500761,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,16ea23ec6ceaa3ae74d516a03032bf6e46b57cb228a5d689b6d177ce560f8036
research_warehouse,lower_left_diagonal,,ThetaStar,pivot_g2,0.0,True,36.822,0.019431682509162558,0.030517754377350815,0.017692786571654958,0.022679807653555727,0.006053737946082901,0.01572059516412324,0.02014255478389699,0.006197443991401875,0.04723820709195392,0.30000003686447857,0.3508897553852769,0.3059847322359676,0.9,0.056833558863328824,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,e921b1344a6719a05fa5e5ccc68cf15dc1e18a4c65da1d79bfb3102616a66e56
research_warehouse,lower_left_diagonal,,ThetaStar,pivot_g2,0.15,True,44.598000000000006,0.023243901629519628,0.04141606724025563,0.02045330736157625,0.029710105515234682,0.006154648824443054,0.020066682001837432,0.026762801404398913,0.006793805583342527,0.05015244239029959,0.15000008637801582,0.34797990400870427,0.1665181989485321,0.9,0.041340782122905026,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,e921b1344a6719a05fa5e5ccc68cf15dc1e18a4c65da1d79bfb3102616a66e56
research_warehouse,lower_left_diagonal,,ThetaStar,pivot_g2,0.22,True,37.662,0.022884908440377872,0.04211938318974083,0.021979471558330563,0.03069049520155152,0.007209419595385186,0.021006829495405832,0.02453937267088182,0.01059905128661498,0.052746146659067475,0.22619986423739497,0.3787956515902411,0.23046279594644672,0.9,0.05408970976253298,0,0,7e8cbd5fd26fa47f920f6d64ae903dd2aa039a33f47dcac543b484833e91b388,e921b1344a6719a05fa5e5ccc68cf15dc1e18a4c65da1d79bfb3102616a66e56
