benchmark_environment,benchmark_source,trial_json,scenario,planner,method,success,execution_time_s,controller_action_time_s,physical_settle_time_s,traveled_distance_m,final_position_error_m,final_yaw_error_rad,mean_cross_track_error_m,max_cross_track_error_m,tracking_rmse_m,tracking_max_error_m,collision_monitor_interventions,planned_footprint_collision_sample_count,raw_path_sha256,selected_path_sha256
open_arena,2026-08-02 ThetaStar matrix,results/pstmo_execution_theta_star_20260802/pilot_open_arena/center_block_detour_raw.json,center_block_detour,ThetaStar,raw,True,40.161,38.871,1.2899999999999991,4.207659412415179,0.019677148442183445,0.07312022411494985,,,0.03178832071471541,0.06627391214066146,0,0,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30
open_arena,2026-08-02 ThetaStar matrix,results/pstmo_execution_theta_star_20260802/pilot_open_arena/center_block_detour_simple.json,center_block_detour,ThetaStar,simple,True,36.93,35.595,1.3350000000000009,4.146717814877761,0.024407876646339144,0.0768442310140645,,,0.04083456691352642,0.07110105862985183,0,0,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,dc0fdf9f2e4d0edd0015d9168351719cf7e63ae21c3e56ea460579b5952e0570
open_arena,2026-08-02 ThetaStar matrix,results/pstmo_execution_theta_star_20260802/pilot_open_arena/center_block_detour_savitzky_golay.json,center_block_detour,ThetaStar,savitzky_golay,True,39.666000000000004,38.325,1.341000000000001,4.194596531394757,0.028878550662269596,0.08528083328496473,,,0.03269824267876845,0.06717089495464244,0,0,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,f04a950230ed6713b8a0e86b9c79280dcda452e26419a3a6644bdb423a6d7510
open_arena,2026-08-02 ThetaStar matrix,results/pstmo_execution_theta_star_20260802/pilot_open_arena/center_block_detour_constrained.json,center_block_detour,ThetaStar,constrained,True,41.736000000000004,40.365,1.3710000000000022,4.2173799196654596,0.026889803738111565,0.07429890819728548,,,0.03689358305138426,0.06538919686586371,0,0,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,16ac79545a0c7d2c677649afa39510a3341e6e96e363a8b14c80a794b855143a
open_arena,2026-08-02 ThetaStar matrix,results/pstmo_execution_theta_star_20260802/pilot_open_arena/center_block_detour_pstmo.json,center_block_detour,ThetaStar,pstmo,True,36.354,34.95,1.4039999999999964,4.090233584345521,0.02584855518178697,0.08889227043594244,,,0.04130171595617472,0.07425850853323174,0,0,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,f04d2838c4070ba38db527bcdc4aee9743c268aa2a116be8319c02e2aec3a6d1
open_arena,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/open_arena/center_block_detour_smac2d_raw.json,center_block_detour,Smac2D,raw,True,30.468000000000004,29.127000000000002,1.341000000000001,4.158233269418941,0.09272809258788627,0.09486590382549664,,,0.021846414662002833,0.04360413058481916,0,0,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531
open_arena,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/open_arena/center_block_detour_smac2d_simple.json,center_block_detour,Smac2D,simple,True,29.385,28.023000000000003,1.3619999999999983,4.145656018122002,0.08749217253302045,0.09390440703365832,,,0.018933475525739738,0.037838579016766745,0,0,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,111affc8ec884a63248ca586ad6012de2d9b4e1321b700d2f0749594d1be4371
open_arena,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/open_arena/center_block_detour_smac2d_savitzky_golay.json,center_block_detour,Smac2D,savitzky_golay,True,30.504,29.124000000000002,1.379999999999999,4.175273829170664,0.0812144756564802,0.09344357766826313,,,0.018810270055743407,0.037185471383562665,0,0,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,5b938bec878e8515a2dcf07d99d87521a27f5eca4fdaf1d56c968fcd93233f8b
open_arena,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/open_arena/center_block_detour_smac2d_constrained.json,center_block_detour,Smac2D,constrained,True,31.995,30.723000000000003,1.2719999999999985,4.225511532456276,0.08915000973863424,0.07894123648405724,,,0.015149320469539623,0.03251197961775432,0,0,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,d80ecf3f735f28e0fcfbea631eb459f7c0566b89ddb4933b7c798bb356437906
open_arena,2026-08-03 four-planner matrix,results/pstmo_execution_full_20260803/open_arena/center_block_detour_smac2d_pstmo.json,center_block_detour,Smac2D,pstmo,True,28.629,27.375,1.2540000000000013,4.069434956617647,0.09165271408483333,0.0872076130096228,,,0.01834322828073615,0.047371578548281744,0,0,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,35cb79556cd19df20478d1aca4d414eced985e99ba372ecf5d5af6306f404c5b
