benchmark_environment,scenario,planner,method,success,execution_time_s,controller_action_time_s,physical_settle_time_s,traveled_distance_m,final_position_error_m,final_yaw_error_rad,collision_monitor_interventions,raw_path_sha256,selected_path_sha256
office_maze,office_long_diagonal,ThetaStar,savitzky_golay,True,70.605,69.22800000000001,1.3769999999999953,12.575286875400693,0.042459411060148486,0.08754051520979089,0,81a14af9baf7bd0a3c4abfece2dbcb96533e499289224970d2a7d079f59adf32,7fff9bd253840bbbc855af5d8ab2f93f727798800edfce20617c030969c69dec
office_maze,office_long_diagonal,ThetaStar,constrained,True,76.479,75.105,1.3739999999999952,12.601649395155304,0.0429978942169728,0.09279951660260499,0,81a14af9baf7bd0a3c4abfece2dbcb96533e499289224970d2a7d079f59adf32,5385fb1903e4fa96356104c5a6460a67f7440c12005ee66ed73645f45c7bd4f1
office_maze,office_long_diagonal,ThetaStar,pstmo,True,64.146,62.751000000000005,1.394999999999996,12.521395159271997,0.04962631433626231,0.07983751491435576,0,81a14af9baf7bd0a3c4abfece2dbcb96533e499289224970d2a7d079f59adf32,c75c09f1ecebe5b292311260f4914d26473b924b989ebec90b32b2b0809a343b
warehouse_cross_aisles,cross_aisle_transfer,ThetaStar,raw,True,44.292,42.969,1.3230000000000004,7.480692493387332,0.029075462407459018,0.08145191861117508,0,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72
warehouse_cross_aisles,cross_aisle_transfer,ThetaStar,simple,True,39.969,38.601,1.368000000000002,7.4333915475551775,0.03403456223226571,0.09574461249622757,0,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,cc771855c4d69ab9f35540d75e47a340385fc412bfdaa6002048ecf3da687c37
warehouse_cross_aisles,cross_aisle_transfer,ThetaStar,savitzky_golay,True,43.236000000000004,41.871,1.365000000000002,7.474317595647692,0.03957820389495437,0.09154431689582454,0,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,af55e2446c891b331b1ae0f2d638e4d6b87715d9f82be0120bb55d3037089bbd
warehouse_cross_aisles,cross_aisle_transfer,ThetaStar,constrained,True,43.89,42.456,1.4339999999999975,7.4770487408899555,0.03768887259388075,0.10857475796429628,0,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,da7acf4afab6dcf49bf1444e62b0834f6b26529f2bb478ce8f27117a33eab5c1
warehouse_cross_aisles,cross_aisle_transfer,ThetaStar,pstmo,True,38.538000000000004,37.143,1.3950000000000031,7.360876154268425,0.03529315975050134,0.09101068052762573,0,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,94f14a61e17fb7e05606155d6db97b479c414d2c0b045f46d9f010f791c2eb6e
warehouse_dispatch,full_replenishment,ThetaStar,raw,True,83.991,82.629,1.3619999999999948,15.010911776944969,0.05840296679393932,0.09260556989605306,0,46b34f3493e1ef28fa9b6f8d336407041bc39a3e3b071ff2c2ab6c903de76206,46b34f3493e1ef28fa9b6f8d336407041bc39a3e3b071ff2c2ab6c903de76206
warehouse_dispatch,full_replenishment,ThetaStar,simple,True,78.97500000000001,77.61,1.365000000000009,14.944383753679956,0.050518074029014814,0.0907717575715854,0,46b34f3493e1ef28fa9b6f8d336407041bc39a3e3b071ff2c2ab6c903de76206,8ea0649e7d78375c4712ba21fd0a63ee6ed405784e4ef2a8505435c6d5965a91
warehouse_dispatch,full_replenishment,ThetaStar,savitzky_golay,True,81.408,80.034,1.3739999999999952,15.004246433625779,0.05929447167463991,0.09953617661650804,0,46b34f3493e1ef28fa9b6f8d336407041bc39a3e3b071ff2c2ab6c903de76206,344d6229dfecaef7ba5ae878437dd813db04640aa5598cbaac2022900f5f8ca2
warehouse_dispatch,full_replenishment,ThetaStar,constrained,True,84.891,83.44800000000001,1.4429999999999978,15.028260086993834,0.058602003078202146,0.09506493281573714,0,46b34f3493e1ef28fa9b6f8d336407041bc39a3e3b071ff2c2ab6c903de76206,4b6fc0ad08716437e1a6a5a220d97414633e69f79910829d187cb8d091d0dd29
warehouse_dispatch,full_replenishment,ThetaStar,pstmo,True,76.071,74.703,1.367999999999995,14.928482614125851,0.060021763523605186,0.08088862761928395,0,46b34f3493e1ef28fa9b6f8d336407041bc39a3e3b071ff2c2ab6c903de76206,4750e2704ef4219efce518495fa7f268fa739356136c872bbecfef37647c49c0
warehouse_long_aisles,diagonal_replenishment,ThetaStar,raw,True,77.265,75.96000000000001,1.3049999999999926,13.807067362840328,0.030984313487576694,0.07643714053287752,0,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714
warehouse_long_aisles,diagonal_replenishment,ThetaStar,simple,True,73.272,72.183,1.0889999999999986,13.712944338246846,0.03348165794168924,0.046112937809757615,0,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,f819f5c948f6895d90627897a0acfee88ea88a52a66f5eabaf7ec248b5eafb4b
warehouse_long_aisles,diagonal_replenishment,ThetaStar,savitzky_golay,True,74.589,73.293,1.2959999999999923,13.77767148527621,0.030254657098537065,0.08727455930276633,0,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,783ce307ac01ba2cff8750fd4c679207783a7290417902979898a8e614a45656
warehouse_long_aisles,diagonal_replenishment,ThetaStar,constrained,True,74.45700000000001,73.254,1.203000000000003,13.764551934441693,0.03412286390332613,0.06305484016766033,0,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,35236e5f14d1c76a5255a5def8fe06e051c2a01bdb7e6080b19c759cb57b9f2c
warehouse_long_aisles,diagonal_replenishment,ThetaStar,pstmo,True,75.123,73.839,1.284000000000006,13.792176282156376,0.035292672787580345,0.07683452985432787,0,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,aaf0913f3c8c7177becaf7d94f77ec2ce223368691f6a07fa2e53c0182008340
