algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_total_angle_rad,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,5.392965780501481,0.03412586597790765,0.020411183982538664,,5.821461258258319,constrained,0.05,64,ec2bbcbd025b30b1da874046f8aaa7127abf3f08abaf74554d772465d618195f,3.5178381912862036,,,,0,0.0,,,,,,0,,ThetaStar,72,a299e1e7dd5588157e5a2ac2fc4890eb31b101a5da017be804e3ae85f391b60d,1,vertical_rack_detour,True,5.392965780501481,5.821461258258319,3.5178381912862036,1,0.005675394999343553
0.0,8.041783288738452,0.033655060302978275,0.006122941818113916,,6.160423033766875,pivot_g2,0.05,168,801e5501e28491c6b3915a99f14958a31dbf0b793977f869e1f42eabfd213621,3.501618474462215,14,6,5,1,0.4636476090008062,200,0.9636,168,1,0.00176626,0.4636476090008062,25,ThetaStar,72,a299e1e7dd5588157e5a2ac2fc4890eb31b101a5da017be804e3ae85f391b60d,1,vertical_rack_detour,True,5.6618258383130255,5.363452244485866,3.502823665598269,2,0.00588853699991887
0.003,9.530291928849314,2.220446049250313e-16,6.341108682771403e-17,,6.643693474215089,raw,0.05,120,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,6.09131844125298,,,,0,0.0,,,,,,0,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,9.530291928849314,6.643693474215089,6.09131844125298,1,0.0036874059987894725
0.0,1.889525106270428,0.03230289833691292,0.008133944054384425,,1.7630170993106318,simple,0.05,120,6712a8c20b1fc0dcaa0c93b3a7411cf9cfd9d6cd47667a7adefd5dc621240780,6.056375742432696,,,,0,0.0,,,,,,0,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,1.889525106270428,1.7630170993106318,6.056375742432696,1,0.005360272998586879
0.0,2.960311540742575,0.006054739778988966,0.001418125707843634,,2.423044196634234,savitzky_golay,0.05,120,78d7377be3f69d8d7a1a38a2964f63e7328af99e84f62d733806fe8ddfae68f7,6.08550583428731,,,,0,0.0,,,,,,0,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,2.960311540742575,2.423044196634234,6.08550583428731,1,0.0035643910014186986
0.003,2.5971722267750983,0.040916998086207794,0.014212948203775116,,2.9250842836670796,constrained,0.05,120,dcc9b04919babdd803e9ce90146d926e913d13b8f3c66033a13e02c5976c595c,6.096362962674666,,,,0,0.0,,,,,,0,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,2.5971722267750983,2.9250842836670796,6.096362962674666,1,0.008298197999465629
0.0,5.921932801020326,0.013257416396934325,0.004213117611255582,,5.35963694813357,pivot_g2,0.05,181,072dd82e610148e891df9d113ea5e57f6ed5bbd0d441bb8b942bcc7c638d57b2,6.085466506322992,9,7,4,3,0.3217505543966422,200,1,181,3,0.000995844,0.954499389398825,22,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,3.3327886176317514,3.2227088023230275,6.087138832100229,4,0.0049022999992303085
0.003,10.586468416278914,1.6653345369377348e-16,3.2300595708537726e-17,,9.250310114884396,raw,0.05,95,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,4.804138924663965,,,,0,0.0,,,,,,0,,ThetaStar,98,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,10.586468416278914,9.250310114884396,4.804138924663965,1,0.0029609230005007703
0.0,2.1132032467520028,0.03899918485629024,0.00959186287674576,,1.9794215068088645,simple,0.05,95,0d2b5fca29c24039dc9b4f191de317cc3db56168206dd855db0c6e668f99eff1,4.765797971185257,,,,0,0.0,,,,,,0,,ThetaStar,97,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,2.1132032467520028,1.9794215068088645,4.765797971185257,1,0.003065532000618987
0.003,2.9273428443473986,0.009817754106654973,0.0018296988328444955,,2.7775261891175456,savitzky_golay,0.05,95,32bd40a56e6d870cfb8bdee770d54ecfb44245759b1a878cc3bb654b38651e7a,4.7975576164903755,,,,0,0.0,,,,,,0,,ThetaStar,97,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,2.9273428443473986,2.7775261891175456,4.7975576164903755,1,0.0032744389991421485
0.003,2.2721471387894843,0.042489118484206015,0.015333340947729101,,2.040825207474077,constrained,0.05,95,69c68e9c5babf0557cd239346f2965516723577272cc21ad1dad45d2b78caba0,4.812059078642961,,,,0,0.0,,,,,,0,,ThetaStar,98,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,2.2721471387894843,2.040825207474077,4.812059078642961,1,0.005952089000857086
0.003,3.5924949216829387,0.0324150966299789,0.013311109938408021,,3.751558766782812,pivot_g2,0.05,151,830ed8543ebbee0a1218dabcb1667dff42f7a7d02807ee7a35e2d1892722ae38,4.79559628646277,8,4,4,0,0.0,200,1,151,0,0.00171278,0,21,ThetaStar,97,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,3.5924949216829387,3.751558766782812,4.79559628646277,1,0.004984426001101383
0.006,21.872861859447593,4.440892098500626e-16,3.938714908428501e-17,,8.353467325102692,raw,0.05,259,276dfe4bd18923ba637edf397519a72218e9467b539028b1299958f6aab99ea1,13.656872265634105,,,,0,0.0,,,,,,0,,ThetaStar,275,276dfe4bd18923ba637edf397519a72218e9467b539028b1299958f6aab99ea1,1,long_southwest_to_northeast,True,21.872861859447593,8.353467325102692,13.656872265634105,1,0.02745735999997123
0.003,4.051250882331663,0.03509099486080726,0.008247497663556275,,2.1680630660130142,simple,0.05,259,a2efb9aebcfd64ffc29dee4fb0ef31fdb4399dc764aeea1fef129d9c1c50757f,13.574164651671586,,,,0,0.0,,,,,,0,,ThetaStar,273,276dfe4bd18923ba637edf397519a72218e9467b539028b1299958f6aab99ea1,1,long_southwest_to_northeast,True,4.051250882331663,2.1680630660130142,13.574164651671586,1,0.0068430669998633675
0.0,8.164948354042126,0.008275609181332437,0.0016609866481511646,,3.7222312600358602,savitzky_golay,0.05,259,cc861500b4d2014279f28f36ba2ee8d42bf03cad085719c9d076e629068f4bbf,13.640560336078352,,,,0,0.0,,,,,,0,,ThetaStar,274,276dfe4bd18923ba637edf397519a72218e9467b539028b1299958f6aab99ea1,1,long_southwest_to_northeast,True,8.164948354042126,3.7222312600358602,13.640560336078352,1,0.006469292000474525
0.012,5.869206716300773,0.0459866992352822,0.01415113029690177,,2.9503435019918807,constrained,0.05,259,13fed7ff4fbbd0cf0e04bf18a581973e77cf5df3bc3e50edda2000df8fc05b03,13.674891255161404,,,,0,0.0,,,,,,0,,ThetaStar,275,276dfe4bd18923ba637edf397519a72218e9467b539028b1299958f6aab99ea1,1,long_southwest_to_northeast,True,5.869206716300773,2.9503435019918807,13.674891255161404,1,0.017365780999170966
0.006,13.518488887945008,0.0363757212198589,0.009400139370522486,,4.926144803190318,pivot_g2,0.05,517,4a14a95a856a38cc04226e0a234daddcbefaacc245acaadcc72b9173adc58496,13.643864212307868,33,20,17,3,0.463647609000806,200,0.958824,517,3,0.00502705,1.1071487177940904,95,ThetaStar,274,276dfe4bd18923ba637edf397519a72218e9467b539028b1299958f6aab99ea1,1,long_southwest_to_northeast,True,10.456353525290286,5.3862775349545915,13.646253508955569,4,0.014482892998785246
0.006,29.96713440193163,4.440892098500626e-16,4.4167553693319544e-17,,13.211045397234837,raw,0.05,258,f5ceb36db1b18d145d917d9089df9bbc4ebfc0adfc3cb3af3328be267e5a0e63,13.672492277711282,,,,0,0.0,,,,,,0,,ThetaStar,275,f5ceb36db1b18d145d917d9089df9bbc4ebfc0adfc3cb3af3328be267e5a0e63,1,long_northeast_to_southwest,True,29.96713440193163,13.211045397234837,13.672492277711282,1,0.010052543999336194
0.003,3.4980541135937693,0.036625392834008785,0.00813182394054548,,1.892173078429749,simple,0.05,258,248eb487fe486d5a56517a6e5a190fda7c42f92b36dde745e06806e89150fc32,13.586568604674584,,,,0,0.0,,,,,,0,,ThetaStar,273,f5ceb36db1b18d145d917d9089df9bbc4ebfc0adfc3cb3af3328be267e5a0e63,1,long_northeast_to_southwest,True,3.4980541135937693,1.892173078429749,13.586568604674584,1,0.006378288999258075
