algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,hybrid_pivot_energy,hybrid_pivot_markers,hybrid_pivot_max_cost,hybrid_pivot_safe,hybrid_raw_energy,hybrid_raw_max_cost,hybrid_raw_safe,hybrid_reason,hybrid_selected,hybrid_simple_energy,hybrid_simple_max_cost,hybrid_simple_safe,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_compatible_edges,pivot_competitive_candidates,pivot_conditioning_input_points,pivot_conditioning_max_deviation,pivot_conditioning_observed_deviation,pivot_conditioning_output_points,pivot_conditioning_safety_rejections,pivot_conditioning_shortcuts,pivot_corner_search,pivot_corners,pivot_dp_states,pivot_evaluations,pivot_fallback,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_rejections,pivot_runtime_s,pivot_search_mode,pivot_segment_margin,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,19.710660265142913,0.004900284992012581,0.0012914491030555956,,0.36055111033882703,0.2146446641391273,0.23390290478282266,0,189,,,,,,,,,,,,,7.607384616685455,savitzky_golay,0.05,152,28b0393e3957e5f9a96fd645bb73bc8784e90dee2ef70f084518120b5b911b75,3.895913455981549,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,79,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,19.710660265142913,7.607384616685455,3.895913455981549,1,0.003975517999606382
0.012,16.51133707672683,0.011659568644112401,0.002846986378004498,,0.37578685622852276,0.21959563989254183,0.23390290478282266,0,193,,,,,,,,,,,,,6.214634584468336,constrained,0.05,152,162879e28452c039a018873032a5af3ffe5ca83abb9483d7fb056360776285f4,3.899816962553354,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,80,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,16.51133707672683,6.214634584468336,3.899816962553354,1,0.01370842200003608
0.003,3.8853725760669273,0.023107537445664083,0.009106923975293427,,0.3530143379281051,0.23390290478282266,0.254451283021028,0,177,,,,,,,,,,,,,2.820097653918567,pivot_g2_fixed,0.05,168,345385e3e909a0749d00bfd00c150102312ec7986afbff1b4e0b7a164b09cd05,3.8721154544947076,0,29,152,0.04,0.023545,8,0,7,"[{'index': 0, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 6, 'states': 0, 'selected_radius': 0.75, 'selected_trim': 0.140006, 'selected_score': 0.964881}, {'index': 1, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 5, 'states': 0, 'selected_radius': 0.6, 'selected_trim': 0.122915, 'selected_score': 0.763448}, {'index': 2, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 4, 'states': 0, 'selected_radius': 0.4, 'selected_trim': 0.101385, 'selected_score': 0.775}, {'index': 3, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 7, 'states': 0, 'selected_radius': 1, 'selected_trim': 0.175107, 'selected_score': 0.85}, {'index': 4, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 6, 'states': 0, 'selected_radius': 0.75, 'selected_trim': 0.116247, 'selected_score': 0.878698}, {'index': 5, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 5, 'states': 0, 'selected_radius': 0.6, 'selected_trim': 0.140208, 'selected_score': 0.863033}]",6,0,54,none,6,0,0.0,200,0.849177,168,0,"{'angular acceleration iteration did not converge': 1, 'transition would overlap an adjacent corner window': 20}",0.00287587,fixed,0.05,0,33,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,79,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,3.8853725760669273,2.820097653918567,3.8721154544947076,1,0.007437775999733276
0.012,5.715568723063303,0.022283912027375948,0.009415799378232267,,0.35054595089403773,0.23390290478282266,0.25619225950049973,0,236,,,,,,,,,,,,,5.426562266638655,pivot_g2,0.05,227,85da47c3044364b83e701e3c1f27036195e1a4a6a2f5757396fb4f1f72bc47e7,3.8730828267308763,84,102,152,0.04,0.023545,8,0,7,"[{'index': 0, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0186675, 'trim_max': 0.280012, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.280012, 'selected_score': 0.261517}, {'index': 1, 'radius_min': 0.1, 'radius_max': 1.41269, 'trim_min': 0.0204858, 'trim_max': 0.289402, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.165635, 'selected_trim': 0.0339316, 'selected_score': 0.668288}, {'index': 2, 'radius_min': 0.1, 'radius_max': 1.14179, 'trim_min': 0.0253463, 'trim_max': 0.289402, 'evaluations': 20, 'safe_feasible': 16, 'states': 6, 'selected_radius': 0.204179, 'selected_trim': 0.0517518, 'selected_score': 0.686486}, {'index': 3, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0175107, 'trim_max': 0.26266, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.26266, 'selected_score': 0.263988}, {'index': 4, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0154997, 'trim_max': 0.232495, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.485, 'selected_trim': 0.0751734, 'selected_score': 0.459809}, {'index': 5, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0233681, 'trim_max': 0.350521, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.105156, 'selected_score': 0.558565}]",6,36,120,none,6,0,0.0,200,0.483109,227,0,"{'angular acceleration iteration did not converge': 8, 'transition requires a reversing inner wheel': 8}",0.0116059,adaptive,0.05,0,104,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,79,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,5.715568723063303,5.426562266638655,3.8730828267308763,1,0.021044320999862975
0.003,5.638469929755376,0.016824120834783764,0.004329850504141845,,0.37021176764939007,0.23390290478282266,0.23390290478282266,0,165,3.88537,0,161,True,55.3044,251,True,simple_default,simple,5.63847,173,True,4.46299232857377,adaptive_hybrid_fixed,0.05,152,fadc27f1a0a6a8553588699d460921eecdd5de7883e05524b5d1e64c1d638502,3.87278355292086,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,79,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,5.638469929755376,4.46299232857377,3.87278355292086,1,0.007923425999706524
0.009000000000000001,5.638469929755376,0.016824120834783764,0.004329850504141845,,0.37021176764939007,0.23390290478282266,0.23390290478282266,0,165,5.71557,0,173,True,55.3044,251,True,simple_default,simple,5.63847,173,True,4.46299232857377,adaptive_hybrid,0.05,152,fadc27f1a0a6a8553588699d460921eecdd5de7883e05524b5d1e64c1d638502,3.87278355292086,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,79,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,5.638469929755376,4.46299232857377,3.87278355292086,1,0.013526263999665389
0.0,19.273854441431098,1.1102230246251565e-16,4.11876251692137e-17,,0.3830663816898015,0.06464466190395313,0.11378679825995897,0,139,,,,,,,,,,,,,11.665257782698554,raw,0.05,138,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,3.4725596158543266,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,19.273854441431098,11.665257782698554,3.4725596158543266,1,0.002972068999952171
0.0,4.377582427499444,0.016696120907306225,0.003584393593011107,,0.36733570593216974,0.11464466264901119,0.11464466264901119,0,150,,,,,,,,,,,,,5.5453013946408625,simple,0.05,138,e75249b678614a610aa403a02fbd341ba5a36b6af81d748442f36947d4ecd24c,3.451128814924107,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,4.377582427499444,5.5453013946408625,3.451128814924107,1,0.0044287670002631785
0.0,13.575340371564497,0.0033496901863436825,0.0008986785912143991,,0.3565291205838806,0.11464466264901119,0.11464466264901119,0,165,,,,,,,,,,,,,9.954275446192172,savitzky_golay,0.05,138,5536f4fe921e59e31463b604705bc32d92215a4f996f3c2739b81a1ccbc3cf13,3.4685814168114213,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,13.575340371564497,9.954275446192172,3.4685814168114213,1,0.0037606310002047394
0.009000000000000001,14.3064249301914,0.0457879146650364,0.017545538254016595,,0.37917467384587505,0.16464466339406925,0.16464466339406925,0,166,,,,,,,,,,,,,8.268833703071035,constrained,0.05,138,f3e315f51b42be380dce7df38702f6495d84ccb065f0c362b23b52358cd7babb,3.485443881980844,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,14.3064249301914,8.268833703071035,3.485443881980844,1,0.012592132999998285
0.003,10.756298274988037,0.02946568409221275,0.010964199555291487,,0.28795135191620963,0.11464466264901119,0.11464466264901119,0,141,,,,,,,,,,,,,11.831846306118548,pivot_g2_fixed,0.05,124,56659fd7c3dc30ba87d4c26495d58517761e71b356e0ccdcc2de9e60684efb2d,3.4546016238998103,0,21,138,0.04,0.0321412,7,0,6,"[{'index': 0, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 6, 'states': 0, 'selected_radius': 0.75, 'selected_trim': 0.128254, 'selected_score': 0.938215}, {'index': 1, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 6, 'states': 0, 'selected_radius': 1, 'selected_trim': 0.119889, 'selected_score': 0.954745}, {'index': 2, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 7, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.0541032, 'selected_score': 0.991004}, {'index': 3, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 0, 'states': 0, 'selected_radius': 0, 'selected_trim': 0, 'selected_score': 0}, {'index': 4, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 2, 'states': 0, 'selected_radius': 0.3, 'selected_trim': 0.050979, 'selected_score': 1}]",5,0,45,none,4,1,0.913063496613956,200,0.970991,124,1,"{'angular acceleration iteration did not converge': 3, 'transition would overlap an adjacent corner window': 21}",0.00226088,fixed,0.05,0.913063496613956,21,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,1.6288004320796774,3.656593112003175,3.459395966696241,2,0.006478634999893984
0.006,11.007954281951315,0.029465684092212254,0.01094402663398321,,0.2696783015821005,0.11464466264901119,0.11464466264901119,0,161,,,,,,,,,,,,,11.674422559581949,pivot_g2,0.05,144,bacbd5175669f4254660f1c3cb0a84931fccc67cbe95bb302cf2e085a5e2719d,3.4551587425362356,80,59,138,0.04,0.0321412,7,0,6,"[{'index': 0, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0171006, 'trim_max': 0.256508, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.485, 'selected_trim': 0.0829377, 'selected_score': 0.534945}, {'index': 1, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0119889, 'trim_max': 0.179833, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.36, 'selected_trim': 0.163049, 'selected_score': 0.300737}, {'index': 2, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.00360688, 'trim_max': 0.0541032, 'evaluations': 11, 'safe_feasible': 9, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.0541032, 'selected_score': 0.205093}, {'index': 3, 'radius_min': 0.1, 'radius_max': 0.302441, 'trim_min': 0.0491137, 'trim_max': 0.14854, 'evaluations': 11, 'safe_feasible': 8, 'states': 5, 'selected_radius': 0, 'selected_trim': 0, 'selected_score': 0}, {'index': 4, 'radius_min': 0.1, 'radius_max': 0.874123, 'trim_min': 0.016993, 'trim_max': 0.14854, 'evaluations': 20, 'safe_feasible': 16, 'states': 6, 'selected_radius': 0.216118, 'selected_trim': 0.036725, 'selected_score': 0.647439}]",5,29,82,none,4,1,0.913063496613956,200,0.422054,144,1,"{'angular acceleration iteration did not converge': 7, 'transition requires a reversing inner wheel': 8}",0.00545246,adaptive,0.05,0.913063496613956,67,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,2.015728101467283,4.509427116375194,3.460015958271954,2,0.00992633499981821
0.003,4.377582427499444,0.016696120907306225,0.003584393593011107,,0.36733570593216974,0.11464466264901119,0.11464466264901119,0,150,1.6288,1,253,True,19.2739,253,True,simple_default,simple,4.37758,253,True,5.5453013946408625,adaptive_hybrid_fixed,0.05,138,e75249b678614a610aa403a02fbd341ba5a36b6af81d748442f36947d4ecd24c,3.451128814924107,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,4.377582427499444,5.5453013946408625,3.451128814924107,1,0.006315896000160137
0.006,4.377582427499444,0.016696120907306225,0.003584393593011107,,0.36733570593216974,0.11464466264901119,0.11464466264901119,0,150,2.01573,1,253,True,19.2739,253,True,simple_default,simple,4.37758,253,True,5.5453013946408625,adaptive_hybrid,0.05,138,e75249b678614a610aa403a02fbd341ba5a36b6af81d748442f36947d4ecd24c,3.451128814924107,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,4.377582427499444,5.5453013946408625,3.451128814924107,1,0.013066360999800963
0.0,101.8821277049117,4.440892098500626e-16,6.036540181301671e-17,,0.5540168380510849,0.16464466339406925,0.2146446641391273,0,254,,,,,,,,,,,,,21.85241000672994,raw,0.05,249,21cc4cb48fb433bf5f1bb579c9f7d7f4a485f0047a020c6f4d7fd226f3f7d849,6.207132352223753,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,21cc4cb48fb433bf5f1bb579c9f7d7f4a485f0047a020c6f4d7fd226f3f7d849,126,21cc4cb48fb433bf5f1bb579c9f7d7f4a485f0047a020c6f4d7fd226f3f7d849,0,1,horizontal_rack_detour,True,101.8821277049117,21.85241000672994,6.207132352223753,1,0.0053158139999140985
0.0,7.475682098443688,0.015481684015920405,0.003930933609591634,,0.52876935926301,0.25619225950049973,0.25619225950049973,0,259,,,,,,,,,,,,,4.808838692059182,simple,0.05,249,b3357ab09915ca7ac5ed353eec9dda1d0c2222dcb10739317dd6662dd39ab5a2,6.140585471679679,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,21cc4cb48fb433bf5f1bb579c9f7d7f4a485f0047a020c6f4d7fd226f3f7d849,124,21cc4cb48fb433bf5f1bb579c9f7d7f4a485f0047a020c6f4d7fd226f3f7d849,0,1,horizontal_rack_detour,True,7.475682098443688,4.808838692059182,6.140585471679679,1,0.007125336000171956
0.0,33.61699913609234,0.007370372294872326,0.001766181143558224,,0.49642064551284015,0.2146446641391273,0.23390290478282266,0,300,,,,,,,,,,,,,10.101780757798043,savitzky_golay,0.05,249,5f753bef74a3484a17ccd2fcf1abd99fcf71a5c04078bb3a9518476706a1e2a8,6.174361094394669,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,21cc4cb48fb433bf5f1bb579c9f7d7f4a485f0047a020c6f4d7fd226f3f7d849,125,21cc4cb48fb433bf5f1bb579c9f7d7f4a485f0047a020c6f4d7fd226f3f7d849,0,1,horizontal_rack_detour,True,33.61699913609234,10.101780757798043,6.174361094394669,1,0.0059079060001749895
0.018000000000000002,58.363768604723475,0.006082740208934133,0.0014233319490770887,,0.48716942541053976,0.16464466339406925,0.23390290478282266,0,317,,,,,,,,,,,,,15.849721612495127,constrained,0.05,249,1767a72232186a3c5ef4ed44f7c03ef78695c85134409ebf8ea855e690f016e0,6.193397945942236,,,,,,,,,,,,,,,0,0.0,,,,,,,,,0,,NavFnAStar,21cc4cb48fb433bf5f1bb579c9f7d7f4a485f0047a020c6f4d7fd226f3f7d849,126,21cc4cb48fb433bf5f1bb579c9f7d7f4a485f0047a020c6f4d7fd226f3f7d849,0,1,horizontal_rack_detour,True,58.363768604723475,15.849721612495127,6.193397945942236,1,0.020832131000133813
