algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,hybrid_pivot_energy,hybrid_pivot_markers,hybrid_pivot_max_cost,hybrid_pivot_safe,hybrid_raw_energy,hybrid_raw_max_cost,hybrid_raw_safe,hybrid_reason,hybrid_selected,hybrid_simple_energy,hybrid_simple_max_cost,hybrid_simple_safe,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_compatible_edges,pivot_competitive_candidates,pivot_conditioned_polyline,pivot_conditioning_input_points,pivot_conditioning_max_deviation,pivot_conditioning_observed_deviation,pivot_conditioning_output_points,pivot_conditioning_safety_rejections,pivot_conditioning_shortcuts,pivot_corner_search,pivot_corners,pivot_dp_states,pivot_evaluations,pivot_fallback,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_rejections,pivot_runtime_s,pivot_search_mode,pivot_segment_margin,pivot_selected_stitch_rejection,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,19.710660265142913,0.004900284992012581,0.0012914491030555956,,0.36055111033882703,0.2146446641391273,0.23390290478282266,0,189,,,,,,,,,,,,,7.607384616685455,savitzky_golay,0.05,152,28b0393e3957e5f9a96fd645bb73bc8784e90dee2ef70f084518120b5b911b75,3.895913455981549,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,0,,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,79,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,19.710660265142913,7.607384616685455,3.895913455981549,1,0.007545139999820094
0.018000000000000002,16.51133707672683,0.011659568644112401,0.002846986378004498,,0.37578685622852276,0.21959563989254183,0.23390290478282266,0,193,,,,,,,,,,,,,6.214634584468336,constrained,0.05,152,162879e28452c039a018873032a5af3ffe5ca83abb9483d7fb056360776285f4,3.899816962553354,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,0,,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,80,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,16.51133707672683,6.214634584468336,3.899816962553354,1,0.023085870000159048
0.006,2.85579319458051,0.04853086173002576,0.01641244507588019,,0.3462702889106336,0.23390290478282266,0.2474873771031409,0,168,,,,,,,,,,,,,2.3213023216757662,pivot_g2_fixed,0.05,159,99757fb5c46b1cb4df5e6a7480c9f480f77c527a34ca84a62b705ef94bd7819d,3.8533818583229764,0,18,"[[-5, -1.8], [-4.37016, -0.910014], [-3.95544, -0.777396], [-3.18121, -0.806205], [-2.83951, -0.928904], [-2, -1.8]]",152,0.075,0.0508606,6,0,5,"[{'index': 0, 'x': -4.37016, 'y': -0.910014, 'turn_angle': -0.645416, 'incoming_length': 1.09031, 'outgoing_length': 0.435405, 'pivot_safe': True, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 4, 'states': 0, 'selected_radius': 0.5, 'selected_trim': 0.167199, 'selected_score': 0.92739}, {'index': 1, 'x': -3.95544, 'y': -0.777396, 'turn_angle': -0.346699, 'incoming_length': 0.435405, 'outgoing_length': 0.774763, 'pivot_safe': True, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 7, 'states': 0, 'selected_radius': 1, 'selected_trim': 0.175107, 'selected_score': 0.85}, {'index': 2, 'x': -3.18121, 'y': -0.806205, 'turn_angle': -0.307546, 'incoming_length': 0.774763, 'outgoing_length': 0.363068, 'pivot_safe': True, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 6, 'states': 0, 'selected_radius': 0.75, 'selected_trim': 0.116247, 'selected_score': 0.878698}, {'index': 3, 'x': -2.83951, 'y': -0.928904, 'turn_angle': -0.459123, 'incoming_length': 0.363068, 'outgoing_length': 1.20979, 'pivot_safe': True, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 5, 'states': 0, 'selected_radius': 0.6, 'selected_trim': 0.140208, 'selected_score': 0.863033}]",4,0,36,none,4,0,0.0,200,0.87978,159,0,"{'angular acceleration iteration did not converge': 1, 'transition would overlap an adjacent corner window': 13}",0.00621544,fixed,0.05,,0,22,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,79,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,2.85579319458051,2.3213023216757662,3.8533818583229764,1,0.03656127700014622
0.015000000000000001,3.6110687910694192,0.04853086173002576,0.016134142830738118,,0.3474498152774736,0.23390290478282266,0.2474873771031409,0,170,,,,,,,,,,,,,3.2234570315814848,pivot_g2,0.05,161,7e286ece06db0094ab92394a1e0b632e00e746ba61d4f2eac5f208087ab4960f,3.856378196444579,56,70,"[[-5, -1.8], [-4.37016, -0.910014], [-3.95544, -0.777396], [-3.18121, -0.806205], [-2.83951, -0.928904], [-2, -1.8]]",152,0.075,0.0508606,6,0,5,"[{'index': 0, 'x': -4.37016, 'y': -0.910014, 'turn_angle': -0.645416, 'incoming_length': 1.09031, 'outgoing_length': 0.435405, 'pivot_safe': True, 'radius_min': 0.1, 'radius_max': 1.30206, 'trim_min': 0.0334398, 'trim_max': 0.435405, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.355437, 'selected_trim': 0.118857, 'selected_score': 0.679939}, {'index': 1, 'x': -3.95544, 'y': -0.777396, 'turn_angle': -0.346699, 'incoming_length': 0.435405, 'outgoing_length': 0.774763, 'pivot_safe': True, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0175107, 'trim_max': 0.26266, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.26266, 'selected_score': 0.263988}, {'index': 2, 'x': -3.18121, 'y': -0.806205, 'turn_angle': -0.307546, 'incoming_length': 0.774763, 'outgoing_length': 0.363068, 'pivot_safe': True, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0154997, 'trim_max': 0.232495, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.485, 'selected_trim': 0.0751734, 'selected_score': 0.459809}, {'index': 3, 'x': -2.83951, 'y': -0.928904, 'turn_angle': -0.459123, 'incoming_length': 0.363068, 'outgoing_length': 1.20979, 'pivot_safe': True, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0233681, 'trim_max': 0.350521, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.105156, 'selected_score': 0.558565}]",4,24,80,none,4,0,0.0,200,0.490575,161,0,"{'angular acceleration iteration did not converge': 6, 'transition requires a reversing inner wheel': 4}",0.0173308,adaptive,0.05,,0,70,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,79,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,3.6110687910694192,3.2234570315814848,3.856378196444579,1,0.02673189500001172
0.003,5.638469929755376,0.016824120834783764,0.004329850504141845,,0.37021176764939007,0.23390290478282266,0.23390290478282266,0,165,2.85579,0,161,True,55.3044,251,True,simple_default,simple,5.63847,173,True,4.46299232857377,adaptive_hybrid_fixed,0.05,152,fadc27f1a0a6a8553588699d460921eecdd5de7883e05524b5d1e64c1d638502,3.87278355292086,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,0,,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,79,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,5.638469929755376,4.46299232857377,3.87278355292086,1,0.010830516999703832
0.015000000000000001,5.638469929755376,0.016824120834783764,0.004329850504141845,,0.37021176764939007,0.23390290478282266,0.23390290478282266,0,165,3.61107,0,173,True,55.3044,251,True,simple_default,simple,5.63847,173,True,4.46299232857377,adaptive_hybrid,0.05,152,fadc27f1a0a6a8553588699d460921eecdd5de7883e05524b5d1e64c1d638502,3.87278355292086,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,0,,NavFnAStar,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,79,97e56cd4716e1d600345f3bd85c3915b960d64981f97b119b1e1d94d70d4b5e0,0,1,crate_detour,True,5.638469929755376,4.46299232857377,3.87278355292086,1,0.021251684999697318
0.0,19.273854441431098,1.1102230246251565e-16,4.11876251692137e-17,,0.3830663816898015,0.06464466190395313,0.11378679825995897,0,139,,,,,,,,,,,,,11.665257782698554,raw,0.05,138,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,3.4725596158543266,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,0,,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,19.273854441431098,11.665257782698554,3.4725596158543266,1,0.0074301220001871116
0.0,4.377582427499444,0.016696120907306225,0.003584393593011107,,0.36733570593216974,0.11464466264901119,0.11464466264901119,0,150,,,,,,,,,,,,,5.5453013946408625,simple,0.05,138,e75249b678614a610aa403a02fbd341ba5a36b6af81d748442f36947d4ecd24c,3.451128814924107,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,0,,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,4.377582427499444,5.5453013946408625,3.451128814924107,1,0.00768748600012259
0.0,13.575340371564497,0.0033496901863436825,0.0008986785912143991,,0.3565291205838806,0.11464466264901119,0.11464466264901119,0,165,,,,,,,,,,,,,9.954275446192172,savitzky_golay,0.05,138,5536f4fe921e59e31463b604705bc32d92215a4f996f3c2739b81a1ccbc3cf13,3.4685814168114213,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,0,,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,13.575340371564497,9.954275446192172,3.4685814168114213,1,0.007568069000171818
0.018000000000000002,14.3064249301914,0.0457879146650364,0.017545538254016595,,0.37917467384587505,0.16464466339406925,0.16464466339406925,0,166,,,,,,,,,,,,,8.268833703071035,constrained,0.05,138,f3e315f51b42be380dce7df38702f6495d84ccb065f0c362b23b52358cd7babb,3.485443881980844,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,0,,NavFnAStar,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,71,dc6c76ce8a5307a7d102a708c0c3716ed26dfbee9bbb6f4bdd250b592c255651,0,1,vertical_rack_detour,True,14.3064249301914,8.268833703071035,3.485443881980844,1,0.02607509100016614
