algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,hybrid_pivot_energy,hybrid_pivot_markers,hybrid_pivot_max_cost,hybrid_pivot_safe,hybrid_reason,hybrid_selected,hybrid_simple_energy,hybrid_simple_max_cost,hybrid_simple_safe,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,1380.4347301515163,4.440892098500626e-16,6.855624875952416e-17,,0.48638950503069117,0.1449222268733815,0.18825146149581692,0,580,,,,,,,,,,376.4264317097945,raw,0.05,576,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,14.076386529482987,,,,0,0.0,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,293,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,0,1,serpentine_west_east,True,1380.4347301515163,376.4264317097945,14.076386529482987,1,0.010333066999919538
0.003,1205.5432979887908,0.016379377051735047,0.003980415566995046,,0.4691090630665303,0.16464466339406925,0.2146446641391273,0,604,,,,,,,,,,379.5138654702852,simple,0.05,576,de00861e560a70feaf027f38d501e5e6c0ca7600c0de9ad45d0d13415e306807,13.951802294416243,,,,0,0.0,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,289,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,0,1,serpentine_west_east,True,1205.5432979887908,379.5138654702852,13.951802294416243,1,0.01369548599996051
0.0,1066.1102558614348,0.00820489365087406,0.0015911004658830871,,0.44937555076962304,0.11464466264901119,0.2146446641391273,0,688,,,,,,,,,,339.48374007916493,savitzky_golay,0.05,576,66c17bec9667d9f9e92a2bc22c8c44d4063d5ebf4f47265e81168da064ce2aa6,14.03440615504587,,,,0,0.0,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,290,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,0,1,serpentine_west_east,True,1066.1102558614348,339.48374007916493,14.03440615504587,1,0.011891000000105123
0.036000000000000004,113.76686952941753,0.05875080447853655,0.012504666319486034,,0.4173846392516678,0.16464466339406925,0.16464466339406925,0,836,,,,,,,,,,29.64889689751386,constrained,0.05,576,d60bb2a4789007abe850cf08b9baac38a78c5519a853af448226e94957a2d330,14.097759077445724,,,,0,0.0,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,284,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,0,1,serpentine_west_east,True,113.76686952941753,29.64889689751386,14.097759077445724,1,0.04601120000006631
0.006,1131.359051257906,0.011102870271481134,0.004013296440500336,,0.36735278524822984,0.11464466264901119,0.16464466339406925,0,1859,,,,,,,,,,369.3592907996677,pivot_g2,0.05,937,8555f812f6888b0ce508eac006f0329b1c323cd4f9030c09b7d5936ee09f5d16,14.07719006908006,63,140,31,109,3.141592653589793,200,0.999997,937,109,0.00660898,84.61142120821326,80,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,293,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,0,1,serpentine_west_east,True,3.2889148133691704,2.6103403294006213,14.561227276848545,110,0.02290544100014813
0.009000000000000001,1205.5432979887908,0.016379377051735047,0.003980415566995046,,0.4691090630665303,0.16464466339406925,0.2146446641391273,0,604,3.28891,109,253,True,simple_default,simple,1204.31,228,True,379.5138654702852,adaptive_hybrid,0.05,576,de00861e560a70feaf027f38d501e5e6c0ca7600c0de9ad45d0d13415e306807,13.951802294416243,,,,0,0.0,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,289,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,0,1,serpentine_west_east,True,1205.5432979887908,379.5138654702852,13.951802294416243,1,0.02086382200013759
0.0,63.482774246976156,4.440892098500626e-16,7.253163936110481e-17,,0.4807598401258851,0.1449222268733815,0.2146446641391273,0,593,,,,,,,,,,12.349766010458417,raw,0.05,557,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,13.959638588319683,,,,0,0.0,,,,,,0,,NavFnAStar,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,281,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,0,1,serpentine_east_west,True,63.482774246976156,12.349766010458417,13.959638588319683,1,0.008785036000062973
0.003,14.10111029838147,0.020047548346724002,0.0032677309385844683,,0.46254885436317056,0.16464466339406925,0.2146446641391273,0,590,,,,,,,,,,6.591982065295537,simple,0.05,557,af966e7f17c3e2ff674024967444961de0f1a3b808735318a8376506b74bcc98,13.891320868752263,,,,0,0.0,,,,,,0,,NavFnAStar,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,279,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,0,1,serpentine_east_west,True,14.10111029838147,6.591982065295537,13.891320868752263,1,0.013147991000096226
0.0,35.78069269690994,0.005647961966140802,0.000790799316671514,,0.4486744753060935,0.16464466339406925,0.2146446641391273,0,629,,,,,,,,,,10.738352369738518,savitzky_golay,0.05,557,d4995ee47ef2c8c9be10e4163b5c8b4db6f1f66cd5b5c1a8fc3681fd2d7a3438,13.943078398117642,,,,0,0.0,,,,,,0,,NavFnAStar,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,280,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,0,1,serpentine_east_west,True,35.78069269690994,10.738352369738518,13.943078398117642,1,0.011171538000326109
0.030000000000000002,50.82232489425394,0.04132465028360906,0.010082925666927926,,0.44428283406050173,0.16464466339406925,0.2146446641391273,0,662,,,,,,,,,,7.688543252217427,constrained,0.05,557,65a3aee966df7b7c507161d14ba19bb0186db5579ac9e4b74a00d5677f7f11d3,13.979900963478782,,,,0,0.0,,,,,,0,,NavFnAStar,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,281,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,0,1,serpentine_east_west,True,50.82232489425394,7.688543252217427,13.979900963478782,1,0.0425366499998745
0.009000000000000001,58.87883600707767,0.03967348453889891,0.013633764372367338,,0.4365676547225257,0.11464466264901119,0.2146446641391273,0,1101,,,,,,,,,,11.880910478418347,pivot_g2,0.05,1008,6a5f43bd331a4d230e9030eb416bd95fee0d7108351ad4fdf18e2720caf1a844,13.945292478269394,121,83,44,39,0.5736445725226624,200,0.996591,1008,39,0.00908992,9.392450497816272,149,NavFnAStar,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,281,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,0,1,serpentine_east_west,True,8.586316034968785,3.3742962517533965,13.957584429615672,40,0.041091969999797584
