algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_total_angle_rad,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,23.87058952795239,2.220446049250313e-16,4.04438252565071e-17,,0.37643715229605246,0.07644806095482698,0.11464466264901119,0,127,14.931846648030852,raw,0.05,64,a299e1e7dd5588157e5a2ac2fc4890eb31b101a5da017be804e3ae85f391b60d,3.530643425136016,,,,0,0.0,,,,,,0,,ThetaStar,72,a299e1e7dd5588157e5a2ac2fc4890eb31b101a5da017be804e3ae85f391b60d,1,vertical_rack_detour,True,23.87058952795239,14.931846648030852,3.530643425136016,1,0.00463870099883934
0.0,2.69980353777387,0.044072077855329184,0.013308686049750855,,0.3810786937404516,0.11464466264901119,0.11464466264901119,0,120,2.293623360186472,simple,0.05,64,f56472744b66b0292da2b5175b194e5cfb5d66c9a80b6328cdbb0424356192bb,3.4646457659623295,,,,0,0.0,,,,,,0,,ThetaStar,71,a299e1e7dd5588157e5a2ac2fc4890eb31b101a5da017be804e3ae85f391b60d,1,vertical_rack_detour,True,2.69980353777387,2.293623360186472,3.4646457659623295,1,0.0053683759997511515
0.0,6.554474460229572,0.012676580913731242,0.0031457652171464788,,0.3627175659510503,0.11464466264901119,0.11464466264901119,0,122,4.241276717628401,savitzky_golay,0.05,64,58bf12dca4e20b30f753aca11b3d42945c770ebb005b103cc3136ddd52671357,3.5117239907177593,,,,0,0.0,,,,,,0,,ThetaStar,72,a299e1e7dd5588157e5a2ac2fc4890eb31b101a5da017be804e3ae85f391b60d,1,vertical_rack_detour,True,6.554474460229572,4.241276717628401,3.5117239907177593,1,0.0046886929994798265
0.0,5.392965780501481,0.03412586597790765,0.020411183982538664,,0.39813801069183585,0.11464466264901119,0.11464466264901119,0,120,5.821461258258319,constrained,0.05,64,ec2bbcbd025b30b1da874046f8aaa7127abf3f08abaf74554d772465d618195f,3.5178381912862036,,,,0,0.0,,,,,,0,,ThetaStar,72,a299e1e7dd5588157e5a2ac2fc4890eb31b101a5da017be804e3ae85f391b60d,1,vertical_rack_detour,True,5.392965780501481,5.821461258258319,3.5178381912862036,1,0.01244966500053124
0.0,7.290611418378475,0.057717605076729406,0.013415752556239016,,0.3132007834790565,0.11464466264901119,0.11464466264901119,0,236,6.619806985129804,pivot_g2,0.05,222,952e3adbadf5b89bccf603693a10a913520b9e9f1ce1770a0dc9c88d81d53a8a,3.48372337048204,24,6,5,1,0.4636476090008062,200,1,222,1,0.00496217,0.4636476090008062,24,ThetaStar,71,a299e1e7dd5588157e5a2ac2fc4890eb31b101a5da017be804e3ae85f391b60d,1,vertical_rack_detour,True,4.693109610400985,5.316022048697846,3.4848311851029465,2,0.020215149999785353
0.0,9.530291928849314,2.220446049250313e-16,6.341108682771403e-17,,0.5067631613317073,0.1449222268733815,0.2146446641391273,0,243,6.643693474215089,raw,0.05,120,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,6.09131844125298,,,,0,0.0,,,,,,0,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,9.530291928849314,6.643693474215089,6.09131844125298,1,0.009976977000405896
0.0,1.889525106270428,0.03230289833691292,0.008133944054384425,,0.4871734907247575,0.2146446641391273,0.2146446641391273,0,234,1.7630170993106318,simple,0.05,120,6712a8c20b1fc0dcaa0c93b3a7411cf9cfd9d6cd47667a7adefd5dc621240780,6.056375742432696,,,,0,0.0,,,,,,0,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,1.889525106270428,1.7630170993106318,6.056375742432696,1,0.010018308999860892
0.0,2.960311540742575,0.006054739778988966,0.001418125707843634,,0.4793945387227183,0.2146446641391273,0.2413743645589977,0,212,2.423044196634234,savitzky_golay,0.05,120,78d7377be3f69d8d7a1a38a2964f63e7328af99e84f62d733806fe8ddfae68f7,6.08550583428731,,,,0,0.0,,,,,,0,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,2.960311540742575,2.423044196634234,6.08550583428731,1,0.012464540999644669
0.003,2.5971722267750983,0.040916998086207794,0.014212948203775116,,0.4837159918650767,0.2146446641391273,0.23390290478282266,0,199,2.9250842836670796,constrained,0.05,120,dcc9b04919babdd803e9ce90146d926e913d13b8f3c66033a13e02c5976c595c,6.096362962674666,,,,0,0.0,,,,,,0,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,2.5971722267750983,2.9250842836670796,6.096362962674666,1,0.0165492380001524
0.0,5.2306408968918365,0.013288079290738022,0.004484019099671888,,0.4116114557308652,0.2146446641391273,0.23390290478282266,0,223,5.124753097445827,pivot_g2,0.05,202,864282a306f957721bdd6d28eeed2e44db5c1c7a7fbb891521d4f904818aa8aa,6.082633831197046,21,7,4,3,0.3217505543966422,200,1,202,3,0.00226344,0.954499389398825,21,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,2.6962412054641924,2.8149901975438016,6.084363196202646,4,0.0134625339997001
