algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,wall_time_s
0.0,1.889525106270428,0.03230289833691292,0.008133944054384425,,1.7630170993106318,simple,0.05,120,6712a8c20b1fc0dcaa0c93b3a7411cf9cfd9d6cd47667a7adefd5dc621240780,6.056375742432696,,,,,,,,,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,0.004995227000108571
0.0,2.960311540742575,0.006054739778988966,0.001418125707843634,,2.423044196634234,savitzky_golay,0.05,120,78d7377be3f69d8d7a1a38a2964f63e7328af99e84f62d733806fe8ddfae68f7,6.08550583428731,,,,,,,,,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,0.004659357000491582
0.006,2.5971722267750983,0.040916998086207794,0.014212948203775116,,2.9250842836670796,constrained,0.05,120,dcc9b04919babdd803e9ce90146d926e913d13b8f3c66033a13e02c5976c595c,6.096362962674666,,,,,,,,,,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,0.008625808999568108
0.003,5.921932801020326,0.013257416396934325,0.004213117611255582,,5.35963694813357,pivot_g2,0.05,181,072dd82e610148e891df9d113ea5e57f6ed5bbd0d441bb8b942bcc7c638d57b2,6.085466506322992,9,7,4,200,1,181,3,0.00148164,22,ThetaStar,123,65aaa283caed754a8bb3966a6b85ab75445919f82ba672dca47878e621bb4791,1,horizontal_rack_detour,True,0.005809270998724969
0.003,10.586468416278914,1.6653345369377348e-16,3.2300595708537726e-17,,9.250310114884396,raw,0.05,95,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,4.804138924663965,,,,,,,,,,ThetaStar,98,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,0.003222928000468528
0.0,2.1132032467520028,0.03899918485629024,0.00959186287674576,,1.9794215068088645,simple,0.05,95,0d2b5fca29c24039dc9b4f191de317cc3db56168206dd855db0c6e668f99eff1,4.765797971185257,,,,,,,,,,ThetaStar,97,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,0.003208382999218884
0.0,2.9273428443473986,0.009817754106654973,0.0018296988328444955,,2.7775261891175456,savitzky_golay,0.05,95,32bd40a56e6d870cfb8bdee770d54ecfb44245759b1a878cc3bb654b38651e7a,4.7975576164903755,,,,,,,,,,ThetaStar,97,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,0.0035566209990065545
0.003,2.2721471387894843,0.042489118484206015,0.015333340947729101,,2.040825207474077,constrained,0.05,95,69c68e9c5babf0557cd239346f2965516723577272cc21ad1dad45d2b78caba0,4.812059078642961,,,,,,,,,,ThetaStar,98,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,0.006255203999899095
0.0,3.5924949216829387,0.0324150966299789,0.013311109938408021,,3.751558766782812,pivot_g2,0.05,151,830ed8543ebbee0a1218dabcb1667dff42f7a7d02807ee7a35e2d1892722ae38,4.79559628646277,8,4,4,200,1,151,0,0.0011684,21,ThetaStar,97,c822244724d7cdacecb1bb00cfdbec119fa871ae56f86dc726b5492033d970fe,1,right_rack_detour,True,0.004851968000366469
0.006,29.713728404822206,4.440892098500626e-16,7.490085566027925e-17,,11.914644724232218,raw,0.05,258,168a173f07855a187d6c2c58eded41b3c5b14207581a7783898b5c0b701bd73f,13.650142300625356,,,,,,,,,,ThetaStar,275,168a173f07855a187d6c2c58eded41b3c5b14207581a7783898b5c0b701bd73f,1,long_southwest_to_northeast,True,0.02529953199882584
