algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,hybrid_pivot_energy,hybrid_pivot_markers,hybrid_pivot_max_cost,hybrid_pivot_safe,hybrid_raw_energy,hybrid_raw_max_cost,hybrid_raw_safe,hybrid_reason,hybrid_selected,hybrid_simple_energy,hybrid_simple_max_cost,hybrid_simple_safe,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,110.30269921816684,2.1510571102112408e-16,3.6657910539751685e-17,,0.6435084442854118,0.23390290478282266,0.27482761130179756,0,411,,,,,,,,,,,,,24.058955459329123,raw,0.05,404,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,10.387657343819665,,,,0,0.0,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,210,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,110.30269921816684,24.058955459329123,10.387657343819665,1,0.007471693999832496
0.003,4.553578482289984,0.026771755570674682,0.00425913879517325,,0.6341608468258592,0.2808724311428359,0.3146446656292434,0,414,,,,,,,,,,,,,3.7460389520280324,simple,0.05,404,542efcc396935370cfbb0d8866f07fb06653097b808b0a53b39954c611e20792,10.297797017113751,,,,0,0.0,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,207,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,4.553578482289984,3.7460389520280324,10.297797017113751,1,0.009989208999741095
0.0,30.516867236947792,0.015434842582144646,0.002061748438277075,,0.6501828583311563,0.26878279146075923,0.3146446656292434,0,462,,,,,,,,,,,,,9.904828703517488,savitzky_golay,0.05,404,e10071c4d11a137a1003502314090d06353c8ab063706608136ceb38eb7da816,10.331827647414688,,,,0,0.0,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,208,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,30.516867236947792,9.904828703517488,10.331827647414688,1,0.00851613399981943
0.027000000000000003,72.9527038330848,0.009080738784886105,0.0016101332947112026,,0.6434455129853656,0.26464466488418537,0.30005486203680687,0,486,,,,,,,,,,,,,15.571825585984195,constrained,0.05,404,a51900394ff2971031dedb8bc15f78d8cdb119a81d8b0bf8c9138257236432ac,10.366127294095133,,,,0,0.0,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,209,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,72.9527038330848,15.571825585984195,10.366127294095133,1,0.03352083700019648
0.003,107.63444286455422,0.02324771067062888,0.0061350364322511446,,0.544319413232332,0.2474873771031409,0.2808724311428359,0,513,,,,,,,,,,,,,22.233798096363635,pivot_g2,0.05,383,12381767b388d93f5def8013afa7fdff89aa8547577dba3c12e74eb927f243c4,10.379545770176938,33,36,9,27,1.5276918371877133,200,0.990392,383,27,0.00267374,11.727524087600779,36,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,210,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,1.5063736905414016,3.0336239545119463,10.413664645842342,28,0.010668622999673971
0.003,4.553578482289984,0.026771755570674682,0.00425913879517325,,0.6341608468258592,0.2808724311428359,0.3146446656292434,0,414,1.50637,27,177,True,110.303,177,True,simple_default,simple,4.55358,138,True,3.7460389520280324,adaptive_hybrid,0.05,404,542efcc396935370cfbb0d8866f07fb06653097b808b0a53b39954c611e20792,10.297797017113751,,,,0,0.0,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,207,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,4.553578482289984,3.7460389520280324,10.297797017113751,1,0.01269209999964005
0.0,70.16180778740585,4.440892098500626e-16,7.716339879138455e-17,,0.7469967772896506,0.17079994476667312,0.25619225950049973,0,506,,,,,,,,,,,,,20.27600180496001,raw,0.05,500,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,12.499712907464971,,,,0,0.0,,,,,,0,,NavFnAStar,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,252,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,0,1,southwest_northeast,True,70.16180778740585,20.27600180496001,12.499712907464971,1,0.00801507699998183
0.003,8.34447810283085,0.016404785268470206,0.0026330454710319076,,0.7161451098826135,0.25619225950049973,0.28480087705617874,0,506,,,,,,,,,,,,,5.356154037768286,simple,0.05,500,e52b0ae0323cfd663a42dacda0044c5ab4fe184a3d29eb100e602e5aef3deb3a,12.447519039365545,,,,0,0.0,,,,,,0,,NavFnAStar,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,250,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,0,1,southwest_northeast,True,8.34447810283085,5.356154037768286,12.447519039365545,1,0.010741808000148012
0.0,23.331202858809103,0.007540916079507397,0.001148422881090512,,0.7029763452699089,0.25619225950049973,0.28480087705617874,0,528,,,,,,,,,,,,,10.208173651066993,savitzky_golay,0.05,500,3cba83e01ea679a1b9c1471bb40ff44b5904963708a510f5dd817c35e6830f38,12.478414772651652,,,,0,0.0,,,,,,0,,NavFnAStar,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,251,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,0,1,southwest_northeast,True,23.331202858809103,10.208173651066993,12.478414772651652,1,0.009281271999952878
0.030000000000000002,43.30860586086865,0.0052548996221903595,0.000929212905576987,,0.6859769786551339,0.2474873771031409,0.2808724311428359,0,554,,,,,,,,,,,,,15.065711805619134,constrained,0.05,500,03b5a60c1e067af3f4c2561cd632ff8112054c84a6ea4e91ce02a8a3ec3e81ba,12.495263432064217,,,,0,0.0,,,,,,0,,NavFnAStar,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,252,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,0,1,southwest_northeast,True,43.30860586086865,15.065711805619134,12.495263432064217,1,0.03950765199988382
