algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_enabled,pstmo_los_output_points,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.012,38.978975011993995,4.440892098500626e-16,8.287869596705818e-17,,0.42371085436151035,0.1449222268733815,0.2146446641391273,0,556,13.816020116667039,raw,0.05,273,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,14.17896020420002,0,0.0,0,ThetaStar,461a2ae78408bc9f2d97f3f22e02bc50272936ae009e4d2aa6b56c349d3205e7,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,0,1,southwest_northeast_weave,True,38.978975011993995,13.816020116667039,14.17896020420002,1,0.020439687000134654
0.003,3.211215799046526,0.03597029697454831,0.008022003783036039,,0.4144560600711661,0.2146446641391273,0.2146446641391273,0,507,1.9951700983443226,simple,0.05,273,2263387477f4068d7f068dbb2fca6772a61fed5d6d92991eb821c0c9b033c55e,14.087428310568772,0,0.0,0,ThetaStar,461a2ae78408bc9f2d97f3f22e02bc50272936ae009e4d2aa6b56c349d3205e7,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,0,1,southwest_northeast_weave,True,3.211215799046526,1.9951700983443226,14.087428310568772,1,0.01567904099988482
0.0,7.94202907577222,0.02524873277121053,0.0027057385295056785,,0.40960243934834106,0.2146446641391273,0.2146446641391273,0,496,3.274122672770424,savitzky_golay,0.05,273,80183215c103e1cbe0b6156a0d3eb14094000393072827b86819708a74136658,14.144152461541164,0,0.0,0,ThetaStar,461a2ae78408bc9f2d97f3f22e02bc50272936ae009e4d2aa6b56c349d3205e7,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,0,1,southwest_northeast_weave,True,7.94202907577222,3.274122672770424,14.144152461541164,1,0.011589100999799484
0.033,22.561485013455858,0.04531067114647294,0.009171818717638672,,0.4184050523519318,0.2146446641391273,0.23390290478282266,0,454,9.64423000036829,constrained,0.05,273,78d5c5feefb070ab7d1be14d2fa123b8e7874c1cc56857fd4a66ff289360b646,14.203669879273832,0,0.0,0,ThetaStar,461a2ae78408bc9f2d97f3f22e02bc50272936ae009e4d2aa6b56c349d3205e7,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,0,1,southwest_northeast_weave,True,22.561485013455858,9.64423000036829,14.203669879273832,1,0.04932839999992211
0.039,1.999938991405297,0.35582358629619737,0.17866722349408753,,0.30625722035874986,0.014644661158895074,0.014644661158895074,0,511,1.009400166353359,pstmo,0.05,502,0f8d47bc8fbd2be7ba022268e31f4f2c3386784773ca959ed0b9e3476a4ae8a9,13.669501620428864,0,0.0,0,ThetaStar,461a2ae78408bc9f2d97f3f22e02bc50272936ae009e4d2aa6b56c349d3205e7,275,72,39,"[[-5, -3], [-0.251393, -3.2632], [1.80989, -1.63545], [2.57243, 2.24081], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -0.251393, 'y': -3.2632, 'turn_angle': 0.723784, 'incoming_length': 4.7559, 'outgoing_length': 2.62649, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0378565, 'trim_max': 0.567847, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.567847, 'selected_score': 0.436452}, {'index': 1, 'x': 1.80989, 'y': -1.63545, 'turn_angle': 0.70814, 'incoming_length': 2.62649, 'outgoing_length': 3.95055, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0369647, 'trim_max': 0.554471, 'evaluations': 20, 'safe_feasible': 16, 'states': 6, 'selected_radius': 1.4125, 'selected_trim': 0.522127, 'selected_score': 0.444676}, {'index': 2, 'x': 2.57243, 'y': 2.24081, 'turn_angle': -1.07345, 'incoming_length': 3.95055, 'outgoing_length': 2.54351, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0594989, 'trim_max': 0.892484, 'evaluations': 20, 'safe_feasible': 13, 'states': 6, 'selected_radius': 1.24625, 'selected_trim': 0.741505, 'selected_score': 0.551972}]",3,18,60,none,3,True,5,252,0.4777,502,0,0,273,"{'swept_footprint': 6, 'transition requires a reversing inner wheel': 7}",0.0371195,adaptive,0.05,,47,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,0,1,southwest_northeast_weave,True,1.999938991405297,1.009400166353359,13.669501620428864,1,0.05943553100019017
0.015000000000000001,8.247731069623203,1.1102230246251565e-16,1.8793190426225067e-17,,0.3594264613058574,0.2146446641391273,0.2146446641391273,0,535,2.3776448004976283,raw,0.05,269,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,14.428028677732053,0,0.0,0,Smac2D,75ffa89198a68d098f52c9550329e83fd925a99b488ac5bb1381985171f3cddf,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,0,1,southwest_northeast_weave,True,8.247731069623203,2.3776448004976283,14.428028677732053,1,0.023097241999948892
0.003,5.836577071642406,0.023256308000496013,0.008831774889422456,,0.3572226079651922,0.17079994476667312,0.2146446641391273,0,529,1.755250696792512,simple,0.05,269,6a5a0e5f6c77f2cbd4146a25f9d69849c6b5eeeff9d7e1ae253905157e20b243,14.340590595780013,0,0.0,0,Smac2D,75ffa89198a68d098f52c9550329e83fd925a99b488ac5bb1381985171f3cddf,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,0,1,southwest_northeast_weave,True,5.836577071642406,1.755250696792512,14.340590595780013,1,0.013437097999940306
0.0,7.8385489101475825,0.0020140861006407032,0.0004305130311960234,,0.35896474050619265,0.2146446641391273,0.2146446641391273,0,536,2.217981122116184,savitzky_golay,0.05,269,96e4732212637c85772b2d82c3a184a564b3afac3d3e00dd3d9216134b15ae2d,14.425779054244742,0,0.0,0,Smac2D,75ffa89198a68d098f52c9550329e83fd925a99b488ac5bb1381985171f3cddf,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,0,1,southwest_northeast_weave,True,7.8385489101475825,2.217981122116184,14.425779054244742,1,0.01335088300015741
0.051000000000000004,8.414077407976599,0.05300568182222167,0.01467027021449497,,0.3735305117301041,0.21959563989254183,0.23390290478282266,0,476,2.4729101272211724,constrained,0.05,269,44ad1ff1c080af8d82da6b706d3e0f77812859b596eab3919f0f395a0ff1627a,14.501586475326151,0,0.0,0,Smac2D,75ffa89198a68d098f52c9550329e83fd925a99b488ac5bb1381985171f3cddf,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,0,1,southwest_northeast_weave,True,8.414077407976599,2.4729101272211724,14.501586475326151,1,0.06929995199993755
,,,,"smoothing failed: status=6, code=504, message=''",,,,,,,pstmo,,,,,,,,Smac2D,75ffa89198a68d098f52c9550329e83fd925a99b488ac5bb1381985171f3cddf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,0,1,southwest_northeast_weave,False,,,,,
0.024,11.74661485855469,4.440892098500626e-16,7.117807217824894e-17,,0.4708463681966987,0.2146446641391273,0.2146446641391273,0,356,4.13093085411922,raw,0.05,162,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,14.324293623728634,0,0.0,0,SmacHybrid,62667a1f79e858d428b495fc17bf9624e6fd92f883c64015f17cf579575a6a6a,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,0,1,southwest_northeast_weave,True,11.74661485855469,4.13093085411922,14.324293623728634,1,0.028711638000004314
0.003,3.6063475434320424,0.046258660462087854,0.0177632151224299,,0.4700735246994198,0.16464466339406925,0.18825146149581692,0,326,1.6923559909807533,simple,0.05,162,023419d191c082004261418c4531cd6cf4f73bc3fa7dcf5431f187bb8f4e4257,14.181184807033866,0,0.0,0,SmacHybrid,62667a1f79e858d428b495fc17bf9624e6fd92f883c64015f17cf579575a6a6a,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,0,1,southwest_northeast_weave,True,3.6063475434320424,1.6923559909807533,14.181184807033866,1,0.008976922999863746
0.0,6.6066944159237515,0.008269808817268432,0.0025132257561504127,,0.47892003658921084,0.18825146149581692,0.2146446641391273,0,325,2.1718787515707394,savitzky_golay,0.05,162,e7fa67532d726bc479bd476163b18b72dfee89d263d76a3e482d775d01d025c9,14.30701664771983,0,0.0,0,SmacHybrid,62667a1f79e858d428b495fc17bf9624e6fd92f883c64015f17cf579575a6a6a,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,0,1,southwest_northeast_weave,True,6.6066944159237515,2.1718787515707394,14.30701664771983,1,0.007701700000097844
0.024,6.691923196831012,0.033200713534919,0.008479744897482506,,0.4787694949698952,0.2146446641391273,0.23390290478282266,0,327,2.6324322620783356,constrained,0.05,162,49ec01b38458c6993ff16d6af0929e8fa0eaa9fd4b58a90711c7c3fd5abb4ef2,14.342212223638317,0,0.0,0,SmacHybrid,62667a1f79e858d428b495fc17bf9624e6fd92f883c64015f17cf579575a6a6a,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,0,1,southwest_northeast_weave,True,6.691923196831012,2.6324322620783356,14.342212223638317,1,0.03048402200010969
0.033,1.8385495800735623,0.3051084923953656,0.14261632783822034,,0.30404497500504674,0.014644661158895074,0.014644661158895074,0,457,0.83783469498886,pstmo,0.05,448,db2f0a246e01b97d9ae7253338481d2da76d90c1de7dad727fa4c20a180c4026,13.715145428062906,0,0.0,0,SmacHybrid,62667a1f79e858d428b495fc17bf9624e6fd92f883c64015f17cf579575a6a6a,276,72,48,"[[-5, -3], [-2.08821, -1.74564], [-1.46529, 2.29123], [1.17138, 3.42693], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -2.08821, 'y': -1.74564, 'turn_angle': 1.01094, 'incoming_length': 3.17048, 'outgoing_length': 4.08465, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0553424, 'trim_max': 0.830135, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.830135, 'selected_score': 0.498812}, {'index': 1, 'x': -1.46529, 'y': 2.29123, 'turn_angle': -1.01098, 'incoming_length': 4.08465, 'outgoing_length': 2.87086, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0553453, 'trim_max': 0.83018, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.83018, 'selected_score': 0.498821}, {'index': 2, 'x': 1.17138, 'y': 3.42693, 'turn_angle': -0.517767, 'incoming_length': 2.87086, 'outgoing_length': 3.85235, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0264826, 'trim_max': 0.39724, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.39724, 'selected_score': 0.382289}]",3,18,60,none,3,True,5,252,0.459974,448,0,0,162,"{'angular acceleration iteration did not converge': 1, 'transition requires a reversing inner wheel': 7}",0.0333946,adaptive,0.05,,52,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,0,1,southwest_northeast_weave,True,1.8385495800735623,0.83783469498886,13.715145428062906,1,0.056756975000098464
